user_id,movie_id,rating
0,0,4.0
0,1,4.0
0,2,4.0
0,3,5.0
0,4,5.0
0,5,3.0
0,6,5.0
0,7,4.0
0,8,5.0
0,9,5.0
0,10,5.0
0,11,3.0
0,12,5.0
0,13,4.0
0,14,5.0
0,15,3.0
0,16,3.0
0,17,5.0
0,18,4.0
0,19,4.0
0,20,5.0
0,21,4.0
0,22,4.0
0,23,5.0
0,24,4.0
0,25,3.0
0,26,5.0
0,27,4.0
0,28,4.0
0,29,5.0
0,30,4.0
0,31,4.0
0,32,4.0
0,33,5.0
0,34,5.0
0,35,3.0
0,36,5.0
0,37,3.0
0,38,4.0
0,39,3.0
0,40,3.0
0,41,5.0
0,42,5.0
0,43,5.0
0,44,5.0
0,45,5.0
0,46,5.0
0,47,4.0
0,48,5.0
0,49,4.0
0,50,5.0
0,51,5.0
0,52,5.0
0,53,4.0
0,54,5.0
0,55,5.0
0,56,4.0
0,57,5.0
0,58,5.0
0,59,5.0
0,60,5.0
0,61,5.0
0,62,4.0
0,63,5.0
0,64,5.0
0,65,4.0
0,66,2.0
0,67,5.0
0,68,5.0
0,69,5.0
0,70,5.0
0,71,3.0
0,72,4.0
0,73,5.0
0,74,5.0
0,75,5.0
0,76,5.0
0,77,5.0
0,78,5.0
0,79,3.0
0,80,3.0
0,81,3.0
0,82,4.0
0,83,5.0
0,84,4.0
0,85,5.0
0,86,3.0
0,87,5.0
0,88,5.0
0,89,5.0
0,90,3.0
0,91,3.0
0,92,5.0
0,93,4.0
0,94,4.0
0,95,5.0
0,96,4.0
0,97,4.0
0,98,5.0
0,99,4.0
0,100,5.0
0,101,4.0
0,102,4.0
0,103,4.0
0,104,5.0
0,105,5.0
0,106,5.0
0,107,4.0
0,108,4.0
0,109,5.0
0,110,5.0
0,111,5.0
0,112,5.0
0,113,4.0
0,114,4.0
0,115,4.0
0,116,4.0
0,117,5.0
0,118,5.0
0,119,5.0
0,120,4.0
0,121,5.0
0,122,4.0
0,123,5.0
0,124,5.0
0,125,4.0
0,126,5.0
0,127,3.0
0,128,5.0
0,129,5.0
0,130,5.0
0,131,5.0
0,132,4.0
0,133,2.0
0,134,4.0
